# pq-cloud-scan targets
# Columns (tab separated): provider  service  proto  host  port
#   proto is tls or ssh. {region} is replaced by --region (per-provider defaults below).
#   Default regions: aws=us-east-1  azure=eastus  gcp=us-central1  ibm=us-south  oracle=us-ashburn-1
# Add your own rows freely; lines starting with # are ignored.

# ---------------------------------------------------------------- AWS
aws	sts	tls	sts.{region}.amazonaws.com	443
aws	iam	tls	iam.amazonaws.com	443
aws	signin	tls	signin.aws.amazon.com	443
aws	console	tls	console.aws.amazon.com	443
aws	s3	tls	s3.{region}.amazonaws.com	443
aws	ec2	tls	ec2.{region}.amazonaws.com	443
aws	kms	tls	kms.{region}.amazonaws.com	443
aws	acm	tls	acm.{region}.amazonaws.com	443
aws	acm-pca	tls	acm-pca.{region}.amazonaws.com	443
aws	secretsmanager	tls	secretsmanager.{region}.amazonaws.com	443
aws	ssm	tls	ssm.{region}.amazonaws.com	443
aws	dynamodb	tls	dynamodb.{region}.amazonaws.com	443
aws	lambda	tls	lambda.{region}.amazonaws.com	443
aws	sqs	tls	sqs.{region}.amazonaws.com	443
aws	sns	tls	sns.{region}.amazonaws.com	443
aws	cloudformation	tls	cloudformation.{region}.amazonaws.com	443
aws	rds	tls	rds.{region}.amazonaws.com	443
aws	eks	tls	eks.{region}.amazonaws.com	443
aws	ecr	tls	api.ecr.{region}.amazonaws.com	443
aws	logs	tls	logs.{region}.amazonaws.com	443
aws	cloudwatch	tls	monitoring.{region}.amazonaws.com	443
aws	elasticloadbalancing	tls	elasticloadbalancing.{region}.amazonaws.com	443
aws	transfer-api	tls	transfer.{region}.amazonaws.com	443
aws	apigateway	tls	apigateway.{region}.amazonaws.com	443
aws	cloudfront-api	tls	cloudfront.amazonaws.com	443
aws	route53	tls	route53.amazonaws.com	443
aws	codecommit-https	tls	git-codecommit.{region}.amazonaws.com	443
aws	codecommit-ssh	ssh	git-codecommit.{region}.amazonaws.com	22

# ---------------------------------------------------------------- Azure
azure	resource-manager	tls	management.azure.com	443
azure	classic-management	tls	management.core.windows.net	443
azure	entra-login	tls	login.microsoftonline.com	443
azure	graph	tls	graph.microsoft.com	443
azure	portal	tls	portal.azure.com	443
azure	devops	tls	dev.azure.com	443
azure	container-registry-mcr	tls	mcr.microsoft.com	443
azure	log-analytics	tls	api.loganalytics.io	443
azure	app-insights	tls	api.applicationinsights.io	443
azure	cognitive	tls	{region}.api.cognitive.microsoft.com	443
azure	batch	tls	{region}.batch.azure.com	443
azure	kusto	tls	help.kusto.windows.net	443
azure	devops-ssh	ssh	ssh.dev.azure.com	22
azure	visualstudio-ssh	ssh	vs-ssh.visualstudio.com	22

# ---------------------------------------------------------------- GCP
gcp	googleapis-root	tls	www.googleapis.com	443
gcp	oauth2	tls	oauth2.googleapis.com	443
gcp	accounts	tls	accounts.google.com	443
gcp	console	tls	console.cloud.google.com	443
gcp	iam	tls	iam.googleapis.com	443
gcp	resource-manager	tls	cloudresourcemanager.googleapis.com	443
gcp	compute	tls	compute.googleapis.com	443
gcp	storage	tls	storage.googleapis.com	443
gcp	kms	tls	cloudkms.googleapis.com	443
gcp	secretmanager	tls	secretmanager.googleapis.com	443
gcp	bigquery	tls	bigquery.googleapis.com	443
gcp	pubsub	tls	pubsub.googleapis.com	443
gcp	gke	tls	container.googleapis.com	443
gcp	run	tls	run.googleapis.com	443
gcp	artifactregistry	tls	artifactregistry.googleapis.com	443
gcp	logging	tls	logging.googleapis.com	443
gcp	regional-kms	tls	cloudkms.{region}.rep.googleapis.com	443
gcp	source-repos-ssh	ssh	source.developers.google.com	2022

# ---------------------------------------------------------------- IBM Cloud (formerly Bluemix)
ibm	console	tls	cloud.ibm.com	443
ibm	iam	tls	iam.cloud.ibm.com	443
ibm	resource-controller	tls	resource-controller.cloud.ibm.com	443
ibm	global-catalog	tls	globalcatalog.cloud.ibm.com	443
ibm	vpc	tls	{region}.iaas.cloud.ibm.com	443
ibm	cos	tls	s3.{region}.cloud-object-storage.appdomain.cloud	443
ibm	key-protect	tls	{region}.kms.cloud.ibm.com	443
ibm	key-protect-quantum-safe	tls	qsc.{region}.kms.cloud.ibm.com	443
ibm	kubernetes	tls	containers.cloud.ibm.com	443
ibm	container-registry	tls	us.icr.io	443
ibm	code-engine	tls	api.{region}.codeengine.cloud.ibm.com	443
ibm	secrets-manager-api	tls	{region}.secrets-manager.cloud.ibm.com	443
ibm	classic-infra	tls	api.softlayer.com	443
ibm	legacy-bluemix	tls	api.ng.bluemix.net	443
ibm	git-ssh	ssh	{region}.git.cloud.ibm.com	22

# ---------------------------------------------------------------- Cloudflare
cloudflare	api	tls	api.cloudflare.com	443
cloudflare	dashboard	tls	dash.cloudflare.com	443
cloudflare	www	tls	www.cloudflare.com	443
cloudflare	apex	tls	cloudflare.com	443
cloudflare	developers	tls	developers.cloudflare.com	443
cloudflare	dns-over-https	tls	cloudflare-dns.com	443
cloudflare	dns-1111	tls	one.one.one.one	443
cloudflare	dns-over-tls	tls	one.one.one.one	853
cloudflare	cdnjs	tls	cdnjs.cloudflare.com	443
cloudflare	turnstile	tls	challenges.cloudflare.com	443
cloudflare	radar	tls	radar.cloudflare.com	443
cloudflare	speed	tls	speed.cloudflare.com	443
cloudflare	workers-dev	tls	workers.cloudflare.com	443
cloudflare	pages	tls	pages.cloudflare.com	443
cloudflare	warp-api	tls	api.cloudflareclient.com	443

# ---------------------------------------------------------------- Fastly
fastly	api	tls	api.fastly.com	443
fastly	manage	tls	manage.fastly.com	443
